FIPS_code,State,grpName,Lit_P1,Lit_P1_CI_L,Lit_P1_CI_U,Lit_P1_CV,Lit_P1_CI_L_indicator,Lit_P1_CV_indicator,Lit_P2,Lit_P2_CI_L,Lit_P2_CI_U,Lit_P2_CV,Lit_P2_CI_L_indicator,Lit_P2_CV_indicator,Lit_P3,Lit_P3_CI_L,Lit_P3_CI_U,Lit_P3_CV,Lit_P3_CV_indicator,Lit_A,Lit_A_CI_L,Lit_A_CI_U,Lit_A_CV,Num_P1,Num_P1_CI_L,Num_P1_CI_U,Num_P1_CV,Num_P1_CV_indicator,Num_P2,Num_P2_CI_L,Num_P2_CI_U,Num_P2_CV,Num_P2_CI_L_indicator,Num_P2_CV_indicator,Num_P3,Num_P3_CI_L,Num_P3_CI_U,Num_P3_CV,Num_P3_CI_L_indicator,Num_P3_CV_indicator,Num_A,Num_A_CI_L,Num_A_CI_U,Num_A_CV,POP,POP_DOMAIN,Male,Female,White,Black,Hispanic,Asian,AIAN,NHPI,Other_race,Less_HS,HS,More_HS,Eng_not_well,FB_after2010,FB_1990_2009,FB_before1990,FB,Poverty_100,Poverty_150,SNAP,Employed,Unemployed,Not_in_labor,OCC_Manage,OCC_Service,OCC_Sales,OCC_Natural,OCC_Military,OCC_Prod,No_Insurance,Region
1,Alabama,all,0.239,0.209,0.27,0.063,,,0.367,0.324,0.412,0.058,,,0.394,0.354,0.43,0.048,,258.9,253.5,264.7,0.011,0.374,0.34,0.411,0.047,,0.325,0.282,0.366,0.065,,,0.301,0.261,0.34,0.065,,,242.5,236.5,248.4,0.012,4850771.0,3562940,0.485,0.515,0.684,0.265,0.041,0.013,0.005,0.0,0.032,0.147,0.309,0.544,0.209,0.007,0.02,0.008,0.035,0.18,0.286,0.15,0.625,0.052,0.319,0.34,0.165,0.236,0.096,0.003,0.159,0.107,Southeast
2,Alaska,all,0.127,0.092,0.162,0.138,,,0.329,0.274,0.381,0.082,,,0.544,0.498,0.597,0.047,,276.7,270.5,283.3,0.012,0.208,0.165,0.246,0.098,,0.373,0.318,0.423,0.073,,,0.419,0.371,0.475,0.062,,,263.7,257.0,270.7,0.013,738565.0,547755,0.523,0.477,0.653,0.032,0.068,0.062,0.142,0.012,0.099,0.076,0.276,0.648,0.11,0.014,0.038,0.024,0.076,0.102,0.176,0.103,0.677,0.058,0.231,0.361,0.167,0.221,0.124,0.022,0.106,0.155,Far West
4,Arizona,all,0.234,0.199,0.265,0.07,,,0.316,0.272,0.368,0.078,,,0.45,0.402,0.491,0.051,,262.4,256.6,268.6,0.012,0.332,0.297,0.369,0.055,,0.307,0.263,0.354,0.076,,,0.361,0.314,0.404,0.063,,,247.4,241.1,253.9,0.013,6809946.0,4909910,0.497,0.503,0.775,0.043,0.309,0.031,0.044,0.002,0.105,0.135,0.242,0.623,0.184,0.019,0.069,0.046,0.134,0.17,0.27,0.125,0.657,0.051,0.288,0.355,0.195,0.259,0.092,0.003,0.096,0.122,Southwest
5,Arkansas,all,0.231,0.203,0.261,0.063,,,0.376,0.337,0.417,0.053,,,0.392,0.357,0.429,0.045,,258.7,253.6,263.8,0.01,0.357,0.326,0.392,0.046,,0.347,0.304,0.387,0.059,,,0.296,0.258,0.335,0.065,,,242.6,237.1,248.0,0.011,2977944.0,2152040,0.491,0.509,0.773,0.154,0.072,0.014,0.007,0.002,0.049,0.144,0.343,0.513,0.219,0.009,0.027,0.011,0.047,0.181,0.302,0.136,0.643,0.044,0.311,0.33,0.169,0.234,0.105,0.001,0.161,0.106,Southeast
6,California,all,0.284,0.258,0.309,0.046,,,0.254,0.225,0.284,0.06,,,0.462,0.434,0.491,0.031,,257.2,253.7,260.7,0.007,0.36,0.335,0.386,0.037,,0.26,0.231,0.289,0.057,,,0.379,0.352,0.407,0.037,,,243.8,240.0,247.7,0.008,38982847.0,28708420,0.497,0.503,0.606,0.058,0.388,0.141,0.007,0.004,0.184,0.175,0.206,0.619,0.228,0.03,0.128,0.112,0.27,0.151,0.247,0.093,0.665,0.056,0.274,0.38,0.185,0.231,0.091,0.003,0.11,0.105,Far West
8,Colorado,all,0.166,0.138,0.192,0.081,,,0.297,0.257,0.348,0.078,,,0.537,0.49,0.574,0.04,,272.0,266.4,277.1,0.01,0.248,0.219,0.284,0.065,,0.31,0.269,0.352,0.067,,,0.442,0.4,0.479,0.045,,,259.7,254.0,265.0,0.011,5436519.0,4045095,0.502,0.498,0.842,0.041,0.213,0.03,0.009,0.002,0.076,0.089,0.216,0.696,0.181,0.015,0.057,0.026,0.098,0.115,0.193,0.082,0.726,0.041,0.224,0.41,0.17,0.229,0.093,0.008,0.09,0.094,Rocky Mountains
9,Connecticut,all,0.172,0.138,0.198,0.088,,,0.318,0.271,0.363,0.073,,,0.51,0.47,0.556,0.041,,271.4,265.5,278.1,0.012,0.26,0.223,0.293,0.066,,0.332,0.288,0.379,0.069,,,0.408,0.366,0.452,0.053,,,258.1,251.9,264.9,0.013,3594478.0,2670850,0.488,0.512,0.767,0.105,0.154,0.044,0.003,0.0,0.082,0.098,0.272,0.631,0.17,0.023,0.072,0.047,0.142,0.101,0.163,0.124,0.717,0.057,0.222,0.425,0.176,0.228,0.073,0.003,0.094,0.064,New England
10,Delaware,all,0.203,0.172,0.237,0.08,,,0.35,0.308,0.393,0.061,,,0.447,0.406,0.486,0.044,,264.0,257.4,270.3,0.012,0.312,0.276,0.349,0.059,,0.354,0.311,0.402,0.065,,,0.333,0.286,0.376,0.067,,,248.7,241.7,255.4,0.014,943732.0,697745,0.484,0.516,0.691,0.219,0.09,0.039,0.004,0.0,0.047,0.107,0.312,0.581,0.162,0.018,0.05,0.024,0.091,0.121,0.196,0.121,0.688,0.048,0.259,0.398,0.177,0.233,0.085,0.002,0.104,0.067,Mideast
11,District of Columbia,all,0.223,0.182,0.261,0.091,,,0.25,0.197,0.303,0.108,,,0.527,0.478,0.579,0.049,,276.7,268.6,285.5,0.016,0.339,0.288,0.386,0.074,,0.211,0.156,0.265,0.131,,,0.45,0.396,0.512,0.066,,,259.8,251.1,269.1,0.018,672391.0,530430,0.474,0.526,0.407,0.477,0.107,0.038,0.003,0.0,0.075,0.097,0.176,0.727,0.142,0.035,0.069,0.036,0.14,0.174,0.245,0.144,0.7,0.063,0.23,0.617,0.152,0.165,0.026,0.004,0.036,0.047,Mideast
12,Florida,all,0.237,0.211,0.263,0.056,,,0.343,0.309,0.376,0.05,,,0.42,0.389,0.45,0.036,,258.9,254.9,262.9,0.008,0.348,0.319,0.375,0.042,,0.35,0.316,0.386,0.05,,,0.302,0.272,0.332,0.05,,,242.7,238.3,247.2,0.009,20278447.0,14888015,0.489,0.511,0.757,0.161,0.247,0.027,0.003,0.001,0.052,0.124,0.29,0.586,0.228,0.034,0.099,0.069,0.202,0.155,0.26,0.144,0.666,0.053,0.277,0.345,0.202,0.266,0.092,0.003,0.091,0.149,Southeast
13,Georgia,all,0.236,0.209,0.261,0.056,,,0.352,0.319,0.386,0.048,,,0.412,0.384,0.44,0.035,,260.4,256.4,264.1,0.007,0.366,0.336,0.395,0.041,,0.334,0.3,0.373,0.055,,,0.3,0.267,0.328,0.052,,,243.3,238.9,247.4,0.009,10201635.0,7487300,0.487,0.513,0.594,0.313,0.093,0.038,0.003,0.001,0.051,0.137,0.28,0.582,0.209,0.016,0.061,0.023,0.1,0.169,0.27,0.145,0.658,0.054,0.281,0.365,0.165,0.241,0.091,0.006,0.132,0.148,Southeast
